id,name,token,country,is_ico,is_ieo,is_sto,ico_start,ico_end,price_usd,raised_usd,distributed_in_ico,sold_tokens,token_for_sale,whitelist,kyc,bonus,restricted_areas,min_investment,bounty,mvp,pre_ico_start,pre_ico_end,pre_ico_price_usd,platform,accepting,link_white_paper,linkedin_link,github_link,website,rating,teamsize,Coinmarketcap_identifier,ERC20,contract_address,Source
4358,Assetbase Foundation,PDT,Seychelles,1,0,0,2018-03-01,2019-01-01,1,,,,5000000,No,0,0,,,1,Available,,,,1,ETH,https://assetbase.io/wp-content/uploads/2018/04/AssetBase-WhitePage.pdf,https://www.linkedin.com/company/assetbase-foundation/,https://www.github.com/Assetbasefoundation?tab=repositories,https://fundraiser.assetbase.io?utm_source=icobench,2.4,9,,1,,ICObench
4359,Aston,ATX,Singapore,1,0,0,2017-12-11,2017-12-31,0.49049999999999999,,0.7,,700000000,,0,0,,,0,,2017-12-06,2017-12-10,,1,ETH,https://s3.amazonaws.com/aws-website-aston-za7io/aston/wp_english_180705.compressed.pdf,,https://www.github.com/astonx?tab=repositories,http://aston.company?utm_source=icobench,2.4,,2732,1,,ICObench
4360,Attention Network,ATTN,Canada,1,0,0,2018-02-15,2018-03-15,7.6100000000000001E-2,,,,450000000,No,0,0,,0.1 ETH,0,,,,,1,ETH,https://www.attentionnetwork.io/whitepaper.pdf,,,https://attentionnetwork.io?utm_source=icobench,3.1,,,1,,ICObench
4361,Avalon,AVA,USA,1,0,0,2017-08-25,2017-09-30,1.0597000000000001,253154,,,8700000,,0,0,,,0,,,,,1,ETH,,,,0,2.6,12,,1,,ICObench
4362,AZ FundChain,AZT,British Virgin Islands,1,0,0,2019-05-15,2019-05-30,0.6,,0.0833,,2500000,Yes,1,0,USA,10 AZT,1,,,,,1,"ETH, BTC.",http://azfundchain.io/whitepaper.pdf,https://www.linkedin.com/company/babb/,,https://azfundchain.io/?utm_source=icobench,3,,,1,,ICObench
4363,BABB,BAX,UK,1,0,0,2018-02-06,2018-03-06,1.1999999999999999E-3,20000000,0.6,,20000000000,Yes,1,0,,,1,,2018-01-15,2018-02-15,,1,ETH,https://resources.getbabb.com/whitepapers/en/babb-whitepaper.pdf,,,https://getbabb.com/?utm_source=icobench,3.7,22,2572,1,0xf920e4f3fbef5b3ad0a25017514b769bdc4ac135,ICObench
4364,BeeMedics,BMC Token,USA,1,0,0,2018-07-01,2018-07-31,5.0000000000000001E-3,,,,4000000000,No,0,0,,,1,,,,,0,,https://beemedics.com/archivos/WhitepaperBeeMedics.pdf,,,https://www.beemedics.com?utm_source=icobench,2.4,,,0,,ICObench
4365,benefitcoin,BENFIT,USA,1,0,0,2019-09-10,2019-12-10,0.35,,0.65,,39000000,No,0,0,,10 USD,0,,2019-06-07,2019-09-07,0.16,0,"BTC , DASH ,DOGE",http://benefitcoin.xyz/BENEFIT%20COIN%20WHITEPAPER.pdf,,https://www.github.com/BENEFITCOIN?tab=repositories,http://benefitcoin.xyz?utm_source=icobench,2.3,,,0,,ICObench
4366,Binocoin,Bino,UK,1,0,0,2018-04-30,2018-06-24,0.65,,0.5,,50000000,,0,0,,,0,,2018-03-26,2018-04-15,,1,"BTC, ETH",https://binocoin.net/assets/images/whitepaper.pdf,,,http://binocoin.net?utm_source=icobench,2.4,,,1,,ICObench
4367,Bionic,BINC,USA,1,0,0,2018-04-05,2018-09-30,0.1162,,,,180000000,No,0,0,Canada,100 BINC,0,,2018-03-05,2018-04-04,0.10671050262499999,0,ETH,https://bionic-coin.io/whitepaper.pdf,,,https://bionic-coin.io?utm_source=icobench,2.1,,3222,1,,ICObench
