id;name;token;country;is_ico;is_ieo;is_sto;ico_start;ico_end;price_usd;raised_usd;distributed_in_ico;sold_tokens;token_for_sale;whitelist;kyc;bonus;restricted_areas;min_investment;bounty;mvp;pre_ico_start;pre_ico_end;pre_ico_price_usd;platform;accepting;link_white_paper;linkedin_link;github_link;website;rating;teamsize;Coinmarketcap_identifier;ERC20
5694;Airsave Travel;ASTC;UK;0;1;0;2019-05-01;2019-07-31;0.3;NA;NA;NA;2.2e+07;No;1;0;None;NA;1;Available;2018-10-15;2018-12-23;NA;0;NA;https://www.airsavetravel.com/doc/Whitepaper_ASTC_Buy.pdf;NA;None;http://www.airsavetravel.com?utm_source=icobench;3.8;14;NA;1
5695;ClinicAll;CHT;Gibraltar;0;1;0;2019-04-30;2020-03-28;1;NA;NA;NA;1E+08;No;1;0;NA;NA;0;NA;NA;NA;NA;0;ETH;NA;https://www.linkedin.com/company/worldhealthforeveryone/;None;https://clinicall.io/?utm_source=icobench;3.2;6;NA;1
5696;Trias;TRY;Unknown;0;1;0;2019-04-30;2019-05-14;NA;NA;NA;NA;NA;NA;0;0;NA;NA;0;NA;NA;NA;NA;1;NA;NA;https://www.linkedin.com/company/trias-lab/;https://www.github.com/trias-lab?tab=repositories;https://www.trias.one/?utm_source=icobench;2.2;9;3970;1
5697;Ocean Protocol;OCN;Singapore;0;1;0;2019-04-30;2019-05-03;0.12;30650000;NA;NA;NA;NA;0;0;NA;NA;0;NA;NA;NA;NA;1;NA;https://oceanprotocol.com/business-whitepaper.pdf;https://www.linkedin.com/company/ocean-protocol/;https://www.github.com/oceanprotocol?tab=repositories;https://oceanprotocol.com/?utm_source=icobench;3.2;55;3911;1
5698;Jura;JURA;Unknown;0;1;0;2019-04-29;2019-04-30;NA;NA;NA;NA;NA;NA;0;0;NA;NA;0;NA;NA;NA;NA;1;NA;https://jura.network/Whitepaper%20of%20JURA.pdf;https://www.linkedin.com/company/juranetwork/;None;https://www.jura.network/?utm_source=icobench;2.2;10;NA;1
5699;Tunetrade;TXT;Saint Kitts and Nevis;0;1;0;2019-04-29;2019-05-01;NA;NA;7;NA;3.5e+07;No;1;0;USA;NA;0;Available;NA;NA;NA;0;ETH;https://tunetrade.io/wp-content/uploads/2019/04/TuneTrade-White-Paper-2019.pdf;NA;https://www.github.com/https:?tab=repositories;https://tunetrade.io?utm_source=icobench;3;5;NA;1
5700;Faireum;FAIRC;Singapore;0;1;0;2019-04-25;2019-09-23;1.4999999999999999E-2;NA;0.5;NA;6E+08;No;1;0;USA, China;NA;0;NA;2019-03-25;2019-04-24;NA;1;ETH;https://faireum.io/assets/files/Faireum_whitepaper2.0_En.pdf;https://www.linkedin.com/company/faireumofficial/;https://www.github.com/Faireum?tab=repositories;https://faireum.io?utm_source=icobench;4.3;25;NA;1
5701;Farm2Kitchen;F2K;Estonia;0;1;0;2019-04-22;2019-08-05;0.1;NA;0.35;NA;2.8e+08;Yes;1;0;USA, China;100 F2K;0;NA;2018-11-02;2018-12-31;7.0000000000000007E-2;1;ETH, BTC;http://www.farm2kitchen.io/downloads/f2kwhitepaper.pdf;https://www.linkedin.com/company/wearefarm2kitchen/;https://www.github.com/farm2kitchen?tab=repositories;https://www.farm2kitchen.io/?utm_source=icobench;4.1;15;NA;1
5702;NUVO;NUVO;UK;0;1;0;2019-04-19;2019-05-19;2.5000000000000001E-3;NA;0.5;NA;2E+09;No;1;0;NA;NA;0;Available;NA;NA;NA;1;PROB, USDT, BTC, ETH, XRP, STEEM;NA;NA;None;https://jamaa.com?utm_source=icobench;2.3;NA;NA;0
5703;GTEX Gaming Platform;GTEX;USA;0;1;0;2019-04-12;2019-04-23;3.0000000000000001E-3;NA;0.15;NA;6E+08;No;0;0;NA;NA;0;NA;2019-04-12;2019-04-23;NA;0;ETH;https://www.gtexgame.io/gtex-whitepaper.pdf;https://www.linkedin.com/company/game-token-exchange/;https://www.github.com/gtexgame?tab=repositories;https://gtexgame.io/?utm_source=icobench;4;9;NA;1
